,FName,NIteraciones,NParticulas,ValorMin,ValorMed,TiempoMed
0,A-n32-k5.vrp,30.0,10.0,1446.42930361302,1625.3701409066987,0.04481540520985921
1,A-n32-k5.vrp,30.0,100.0,1170.2016276632085,1329.5787056253334,0.20687740643819172
2,A-n32-k5.vrp,30.0,1000.0,1027.7844081849566,1146.3705230626797,2.242211095492045
3,A-n32-k5.vrp,30.0,100000.0,837.2733412527248,921.3493995534407,133.5212171157201
4,A-n32-k5.vrp,100.0,10.0,1495.574522096245,1609.4749285335358,0.19122662544250488
5,A-n32-k5.vrp,100.0,100.0,1169.9801419261019,1305.1275070165766,0.7770010948181152
6,A-n32-k5.vrp,100.0,1000.0,1004.9208700770761,1123.64062126069,5.314650042851766
7,A-n32-k5.vrp,1000.0,10.0,1491.1631564528302,1635.4289038530371,2.5973859310150145
8,A-n32-k5.vrp,1000.0,100.0,1200.8329530246428,1332.2735917308137,11.193964004516602
9,A-n32-k5.vrp,1000.0,1000.0,1023.3439341446268,1142.0724908495476,61.45934740702311
10,A-n33-k6.vrp,30.0,10.0,1132.4593526746285,1361.578812042608,0.050912078221639
11,A-n33-k6.vrp,30.0,100.0,1030.069225616573,1178.2757222609148,0.21639467080434163
12,A-n33-k6.vrp,30.0,1000.0,948.4515908661648,1017.2044036497244,2.3001713434855144
13,A-n33-k6.vrp,30.0,100000.0,765.1735075916824,844.8141091967108,153.1614893913269
14,A-n33-k6.vrp,100.0,10.0,1229.945559653211,1365.9961310995827,0.20379950205485026
15,A-n33-k6.vrp,100.0,100.0,1088.8788900437594,1160.3423762002096,0.7579549709955852
16,A-n33-k6.vrp,100.0,1000.0,881.8000726695271,1004.3296836496952,12.058709716796875
17,A-n33-k6.vrp,1000.0,10.0,1269.9185676615189,1386.3923779470888,2.5955536444981893
18,A-n33-k6.vrp,1000.0,100.0,1038.5598391606684,1156.1385513922353,13.867722765604656
19,A-n33-k6.vrp,1000.0,1000.0,908.3618206546839,1007.3384558368055,59.463391637802125
20,A-n44-k6.vrp,30.0,10.0,1748.4018580156408,1951.1334706463033,0.06427294413248698
21,A-n44-k6.vrp,30.0,100.0,1505.9744993819456,1656.6445895299955,0.2628022193908691
22,A-n44-k6.vrp,30.0,1000.0,1330.3600344399783,1435.2639556422037,3.062269361813863
23,A-n44-k6.vrp,30.0,100000.0,1067.4577593029219,1192.594518742546,178.24140830834708
24,A-n44-k6.vrp,100.0,10.0,1794.1134336240696,1955.6623964068672,0.26526081562042236
25,A-n44-k6.vrp,100.0,100.0,1428.3101438778554,1633.6745096195857,0.9437698523203532
26,A-n44-k6.vrp,100.0,1000.0,1300.1372939982848,1439.3844499981903,18.383558662732444
27,A-n44-k6.vrp,1000.0,10.0,1618.2379705414057,1956.304201959512,3.5076906363169353
28,A-n44-k6.vrp,1000.0,100.0,1563.6362901843238,1675.9056340570728,12.688368598620096
29,A-n44-k6.vrp,1000.0,1000.0,1226.091051895073,1433.4657262757032,80.00688011646271
30,A-n65-k9.vrp,30.0,10.0,2852.595120751729,3204.5395232437595,0.08627124627431233
31,A-n65-k9.vrp,30.0,100.0,2464.5441919656087,2732.4486778344203,0.40061914920806885
32,A-n65-k9.vrp,30.0,1000.0,2209.6049616162545,2409.764318333233,4.997029193242391
33,A-n65-k9.vrp,30.0,100000.0,1747.0398062219365,1917.151040177107,256.2025776783625
34,A-n65-k9.vrp,100.0,10.0,2897.0086432281346,3189.5781875896437,0.3637952168782552
35,A-n65-k9.vrp,100.0,100.0,2509.9718089471717,2729.177879769334,1.402023228009542
36,A-n65-k9.vrp,100.0,1000.0,2263.233444694224,2432.008079277043,11.753381395339966
37,A-n65-k9.vrp,1000.0,10.0,3030.581078371394,3217.2409386577474,4.972634037335713
38,A-n65-k9.vrp,1000.0,100.0,2474.0236385530884,2724.201237846005,20.218005990982057
39,A-n65-k9.vrp,1000.0,1000.0,2261.0864037281963,2415.956950652326,118.4463061173757
40,A-n80-k10.vrp,30.0,10.0,3825.1358748253274,4162.671425871226,0.10476849873860677
41,A-n80-k10.vrp,30.0,100.0,3383.206903426146,3689.862897747404,0.4778292973836263
42,A-n80-k10.vrp,30.0,1000.0,3142.382316813648,3324.6327968848495,5.133270223935445
43,A-n80-k10.vrp,30.0,100000.0,2603.748758987926,2742.2376433304944,312.8896110614141
44,A-n80-k10.vrp,100.0,10.0,3905.2361252894034,4174.488789952816,0.4339853366216024
45,A-n80-k10.vrp,100.0,100.0,3404.1426526732726,3658.407912439408,1.8520102103551228
46,A-n80-k10.vrp,100.0,1000.0,3080.4296983257645,3295.8208778749085,19.969066055615745
47,A-n80-k10.vrp,1000.0,10.0,3927.2748393386664,4191.976752076413,5.806450072924296
48,A-n80-k10.vrp,1000.0,100.0,3426.330555030002,3683.586533667232,24.673115730285645
49,A-n80-k10.vrp,1000.0,1000.0,3069.647740163691,3300.3371744607875,142.61793828805287
