,FName,NIteraciones,NParticulas,ValorMin,ValorMed,TiempoMed
0,A-n32-k5.vrp,30.0,10.0,1570.176099022651,1730.66594835336,0.03964302539825439
1,A-n32-k5.vrp,30.0,100.0,1496.2138882754969,1641.803969624491,0.35157691637674965
2,A-n32-k5.vrp,30.0,1000.0,1485.9278995137427,1550.9031401486345,1.4653986056645711
3,A-n32-k5.vrp,30.0,100000.0,1229.0676259722195,1396.9814085339467,192.41735208829243
4,A-n32-k5.vrp,100.0,10.0,1619.2999338144605,1680.529165568959,0.1855384588241577
5,A-n32-k5.vrp,100.0,100.0,1445.9237560814825,1577.2111478453937,1.2163237094879151
6,A-n32-k5.vrp,100.0,1000.0,1385.1280160295016,1491.32528818712,5.0230704625447595
7,A-n32-k5.vrp,1000.0,10.0,1476.7244676122907,1577.2057999631572,2.122153957684835
8,A-n32-k5.vrp,1000.0,100.0,1384.7889029384328,1502.5761846873856,6.768768850962321
9,A-n32-k5.vrp,1000.0,1000.0,1375.250196491715,1429.7286601385806,77.29068961143494
10,A-n33-k6.vrp,30.0,10.0,1283.2717013752756,1447.4127557490144,0.04469468593597412
11,A-n33-k6.vrp,30.0,100.0,1238.7154296167264,1360.027403271359,0.37943061987559
12,A-n33-k6.vrp,30.0,1000.0,1218.8198554204937,1305.7868132158178,1.5206782817840576
13,A-n33-k6.vrp,30.0,100000.0,1146.9332934788338,1204.7710239768537,194.4418878952662
14,A-n33-k6.vrp,100.0,10.0,1308.3110647016763,1391.7356555620165,0.2048403819402059
15,A-n33-k6.vrp,100.0,100.0,1276.8630872651252,1347.2206105290397,1.3154999335606894
16,A-n33-k6.vrp,100.0,1000.0,1181.4729203427623,1267.4906992287072,5.877409029006958
17,A-n33-k6.vrp,1000.0,10.0,1258.9668928681451,1339.37629195224,2.1432074467341105
18,A-n33-k6.vrp,1000.0,100.0,1182.7745428735548,1271.9388008887147,6.745679299036662
19,A-n33-k6.vrp,1000.0,1000.0,1185.180208998024,1220.6922393407626,60.771830916404724
20,A-n44-k6.vrp,30.0,10.0,1986.1994749589394,2085.5655007367673,0.05622421900431315
21,A-n44-k6.vrp,30.0,100.0,1898.441592622386,2000.618353769392,0.48333804607391356
22,A-n44-k6.vrp,30.0,1000.0,1824.3913966013538,1906.8106087689428,1.9842309951782227
23,A-n44-k6.vrp,30.0,100000.0,1657.3296657273504,1764.120278495345,345.2910633722941
24,A-n44-k6.vrp,100.0,10.0,1866.4956015099688,2026.317883706556,0.25466327667236327
25,A-n44-k6.vrp,100.0,100.0,1836.5424855795854,1947.8675891516812,1.6938181400299073
26,A-n44-k6.vrp,100.0,1000.0,1804.5406791813273,1867.582640273707,11.755107800165812
27,A-n44-k6.vrp,1000.0,10.0,1865.7941021112408,1942.3561870542835,2.8122753461201984
28,A-n44-k6.vrp,1000.0,100.0,1759.0503927867258,1859.1429175705996,11.144745095570881
29,A-n44-k6.vrp,1000.0,1000.0,1696.0211323677186,1809.5061741118313,77.72747053305308
30,A-n65-k9.vrp,30.0,10.0,3117.157291391409,3367.2582042393155,0.094625989596049
31,A-n65-k9.vrp,30.0,100.0,3063.9993934290355,3231.624671953995,0.7512741327285767
32,A-n65-k9.vrp,30.0,1000.0,2960.583620548063,3127.310429648372,2.8915562947591145
33,A-n65-k9.vrp,30.0,100000.0,2799.873851110274,2934.7269842755495,507.1925041596095
34,A-n65-k9.vrp,100.0,10.0,3096.251251341847,3268.083029702977,0.37214810848236085
35,A-n65-k9.vrp,100.0,100.0,3046.2123164227396,3178.1504542845078,2.5565502405166627
36,A-n65-k9.vrp,100.0,1000.0,2908.472339272093,3072.2668514346065,21.352962414423626
37,A-n65-k9.vrp,1000.0,10.0,3005.3814116769618,3181.7805702515766,7.782677507400512
38,A-n65-k9.vrp,1000.0,100.0,2933.6435465211553,3057.2465204653386,17.84492473602295
39,A-n65-k9.vrp,1000.0,1000.0,2824.2858635537646,2984.0260104703193,111.87180800437928
40,A-n80-k10.vrp,30.0,10.0,4245.115988571063,4440.6463912919035,0.10915096600850423
41,A-n80-k10.vrp,30.0,100.0,4110.90351839881,4291.331678621794,0.8816707849502563
42,A-n80-k10.vrp,30.0,1000.0,3943.8868545592422,4153.442111404282,3.643570971488953
43,A-n80-k10.vrp,30.0,100000.0,3905.6182250967904,3983.4661062267196,553.5183746019999
44,A-n80-k10.vrp,100.0,10.0,4234.91090387589,4359.820937358151,0.44514676729838054
45,A-n80-k10.vrp,100.0,100.0,3968.722359429939,4208.121412319315,2.5160810867945353
46,A-n80-k10.vrp,100.0,1000.0,3879.9028343480672,4117.531814570962,30.708005396525063
47,A-n80-k10.vrp,1000.0,10.0,4078.2373579890223,4223.484312767509,8.452348375320435
48,A-n80-k10.vrp,1000.0,100.0,3961.0122485278434,4111.907880806381,15.834767174720763
49,A-n80-k10.vrp,1000.0,1000.0,3860.433961613643,4013.4098766664106,207.6525885105133
