,FName,NIteraciones,NParticulas,ValorMin,ValorMed,TiempoMed
0,A-n32-k5.vrp,30.0,10.0,1570.176099022651,1730.66594835336,0.13804421424865723
1,A-n32-k5.vrp,30.0,100.0,1496.2138882754969,1641.803969624491,0.8613098462422689
2,A-n32-k5.vrp,30.0,1000.0,1485.9278995137427,1550.9031401486345,9.139111542701722
3,A-n32-k5.vrp,30.0,100000.0,1229.0676259722195,1396.9814085339467,262.1539831161499
4,A-n32-k5.vrp,100.0,10.0,1619.2999338144605,1680.529165568959,0.5019980430603027
5,A-n32-k5.vrp,100.0,100.0,1445.9237560814825,1577.2111478453937,2.866416827837626
6,A-n32-k5.vrp,100.0,1000.0,1385.1280160295016,1491.32528818712,30.513265005747478
7,A-n32-k5.vrp,1000.0,10.0,1476.7244676122907,1577.2057999631572,5.069329794247945
8,A-n32-k5.vrp,1000.0,100.0,1384.7889029384328,1502.5761846873856,31.06873830159505
9,A-n32-k5.vrp,1000.0,1000.0,1373.292179612029,1439.0274919280134,89.09812897046407
10,A-n33-k6.vrp,30.0,10.0,1283.2717013752756,1447.4127557490144,0.13526655832926432
11,A-n33-k6.vrp,30.0,100.0,1238.7154296167264,1360.027403271359,0.8691141605377197
12,A-n33-k6.vrp,30.0,1000.0,1218.8198554204937,1305.7868132158178,9.019171412785848
13,A-n33-k6.vrp,30.0,100000.0,1146.9332934788338,1204.7710239768537,279.1808621327082
14,A-n33-k6.vrp,100.0,10.0,1308.3110647016763,1391.7356555620165,0.507964301109314
15,A-n33-k6.vrp,100.0,100.0,1276.8630872651252,1347.2206105290397,2.943640430768331
16,A-n33-k6.vrp,100.0,1000.0,1181.4729203427623,1267.4906992287072,29.833211922645567
17,A-n33-k6.vrp,1000.0,10.0,1258.9668928681451,1339.37629195224,5.360500510533651
18,A-n33-k6.vrp,1000.0,100.0,1182.7745428735548,1271.9388008887147,31.307450000445048
19,A-n33-k6.vrp,1000.0,1000.0,1169.5807597539654,1222.4070156100258,92.90070832570395
20,A-n44-k6.vrp,30.0,10.0,1986.1994749589394,2085.5655007367673,0.14222668011983236
21,A-n44-k6.vrp,30.0,100.0,1898.441592622386,2000.618353769392,0.9721174240112305
22,A-n44-k6.vrp,30.0,1000.0,1824.3913966013538,1906.8106087689428,10.133655389149984
23,A-n44-k6.vrp,30.0,100000.0,1657.3296657273504,1764.120278495345,354.0841012716293
24,A-n44-k6.vrp,100.0,10.0,1866.4956015099688,2026.317883706556,0.7761747201283773
25,A-n44-k6.vrp,100.0,100.0,1836.5424855795854,1947.8675891516812,3.328238868713379
26,A-n44-k6.vrp,100.0,1000.0,1804.5406791813273,1867.582640273707,33.263562488555905
27,A-n44-k6.vrp,1000.0,10.0,1865.7941021112408,1942.3561870542835,6.411167081197103
28,A-n44-k6.vrp,1000.0,100.0,1759.0503927867258,1859.1429175705996,35.8230542977651
29,A-n44-k6.vrp,1000.0,1000.0,1701.2511255528864,1810.32953200635,123.74156863689423
30,A-n65-k9.vrp,30.0,10.0,3117.157291391409,3367.2582042393155,0.20154708226521809
31,A-n65-k9.vrp,30.0,100.0,3063.9993934290355,3231.624671953995,1.1784740130106608
32,A-n65-k9.vrp,30.0,1000.0,2960.583620548063,3127.310429648372,12.392125415802003
33,A-n65-k9.vrp,100.0,10.0,3096.251251341847,3268.083029702977,0.881608788172404
34,A-n65-k9.vrp,100.0,100.0,3046.2123164227396,3178.1504542845078,4.079797879854838
35,A-n65-k9.vrp,100.0,1000.0,2908.472339272093,3072.2668514346065,40.42947662671407
36,A-n65-k9.vrp,1000.0,10.0,3005.3814116769618,3181.7805702515766,8.22695882320404
37,A-n65-k9.vrp,1000.0,100.0,2933.6435465211553,3057.2465204653386,45.423390936851504
38,A-n65-k9.vrp,1000.0,1000.0,2852.983863626472,2973.314884405555,177.68327453931172
39,A-n80-k10.vrp,30.0,10.0,4245.115988571063,4440.6463912919035,0.23586652278900147
40,A-n80-k10.vrp,30.0,100.0,4110.90351839881,4291.331678621794,1.422925623257955
41,A-n80-k10.vrp,30.0,1000.0,3943.8868545592422,4153.442111404282,14.112868110338846
42,A-n80-k10.vrp,100.0,10.0,4234.91090387589,4359.820937358151,0.8610432545344034
43,A-n80-k10.vrp,100.0,100.0,3968.722359429939,4208.121412319315,4.620161763827006
44,A-n80-k10.vrp,100.0,1000.0,3879.9028343480672,4117.531814570962,45.102597498893736
45,A-n80-k10.vrp,1000.0,10.0,4078.2373579890223,4223.484312767509,10.344974525769551
46,A-n80-k10.vrp,1000.0,100.0,3961.0122485278434,4111.907880806381,55.16976726849874
47,A-n80-k10.vrp,1000.0,1000.0,3887.830905691837,4008.2451432113908,222.38799827098848
